,EXG Channel 0
584,317.7419002354145
585,432.2725964784622
586,401.27630564570427
587,286.14722540974617
588,354.60235419869423
589,416.7146126627922
590,307.56937235593796
591,330.1882872879505
592,421.14265421032906
593,352.5678486227989
594,324.683154553175
595,423.77554377913475
596,415.6375214755535
597,299.0723196566105
598,364.5355284810066
599,393.49731373786926
600,309.9629083275795
601,379.8541586995125
602,432.9906572699547
603,360.9452245235443
604,298.354258865118
605,393.13828334212303
606,388.2315346002579
607,267.47764483094215
608,348.73819106817245
609,427.36584773659706
610,344.3101495206356
611,334.61632883548737
612,428.0839085280895
613,361.6632853150368
614,271.18762558698654
615,416.47525906562805
616,402.2337200343609
617,307.56937235593796
618,362.26166930794716
619,428.92164611816406
620,326.83733692765236
621,327.91442811489105
622,386.0773522257805
623,361.9026389122009
624,323.0076793730259
625,424.25425097346306
626,377.8196531236172
627,310.4416155219078
628,377.2212691307068
629,401.7550128400326
630,325.0421849489212
631,332.10311606526375
632,407.14046877622604
633,359.15007254481316
634,312.35644429922104
635,417.7917038500309
636,397.68600168824196
637,277.88952630758286
638,370.8783988058567
639,369.56195402145386
640,338.44598639011383
641,346.70368549227715
642,427.7248781323433
643,378.53771391510963
644,303.1413308084011
645,380.45254269242287
646,380.8115730881691
647,325.76024574041367
648,337.24921840429306
649,404.98628640174866
650,343.59208872914314
651,341.0788759589195
652,426.6477869451046
653,368.00615563988686
654,322.8880025744438
655,375.30644035339355
656,357.9533045589924
657,332.2227928638458
658,376.6228851377964
659,448.0699338912964
660,356.2778293788433
661,411.68818712234497
662,303.50036120414734
663,345.62659430503845
664,324.4438009560108
665,415.7571982741356
666,390.2660401761532
667,350.1743126511574
668,368.8438932299614
669,404.02887201309204
670,327.794751316309
671,352.92687901854515
672,422.81812939047813
673,370.5193684101105
674,297.27716767787933
675,380.2131890952587
676,417.43267345428467
677,302.7823004126549
678,340.241138368845
679,412.76527830958366
680,348.25948387384415
681,332.2227928638458
682,414.6801070868969
683,369.3226004242897
684,318.10093063116074
685,417.3129966557026
686,396.4892337024212
687,324.9225081503391
688,384.64123064279556
689,394.3350513279438
690,356.7565365731716
691,346.58400869369507
692,350.6530198454857
693,355.799122184515
694,400.79759845137596
695,336.29180401563644
696,334.017944842577
697,402.5927504301071
698,377.34094592928886
699,314.86965706944466
700,398.0450320839882
701,393.97602093219757
