EXG Channel 0,EXG Channel 1,Timestamp,Timestamp (Formatted)
 -488.5206918120384, 340.36081516742706, 1.738099508759081E9, 2025-01-28 13:25:08.759
 -313.5532122850418, 517.9611842632294, 1.7380995087591496E9, 2025-01-28 13:25:08.759
 -417.6720270514488, 425.33134216070175, 1.7380995087593453E9, 2025-01-28 13:25:08.759
 -529.4501569271088, 312.83515149354935, 1.7380995087593768E9, 2025-01-28 13:25:08.759
 -360.466517329216, 490.6748741865158, 1.7380995087608025E9, 2025-01-28 13:25:08.760
 -347.5414230823517, 504.55738282203674, 1.7380995087608492E9, 2025-01-28 13:25:08.760
 -532.8011072874069, 323.12735617160797, 1.738099508789206E9, 2025-01-28 13:25:08.789
 -441.8467403650284, 420.7836238145828, 1.7380995087892628E9, 2025-01-28 13:25:08.789
 -324.80283135175705, 541.8965439796448, 1.7380995087905595E9, 2025-01-28 13:25:08.790
 -498.81289649009705, 372.912904381752, 1.7380995087906027E9, 2025-01-28 13:25:08.790
 -503.1212612390518, 373.87031877040863, 1.7380995087909837E9, 2025-01-28 13:25:08.790
 -330.3079640865326, 557.6938813924789, 1.7380995087910292E9, 2025-01-28 13:25:08.791
 -432.9906572699547, 452.138945043087, 1.7380995088490107E9, 2025-01-28 13:25:08.849
 -546.2049087285995, 350.6530198454857, 1.7380995088490615E9, 2025-01-28 13:25:08.849
 -388.7102417945862, 517.7218306660652, 1.738099508849376E9, 2025-01-28 13:25:08.849
 -359.26974934339523, 545.4868479371071, 1.7380995088494182E9, 2025-01-28 13:25:08.849
 -550.9919806718826, 359.26974934339523, 1.7380995088500812E9, 2025-01-28 13:25:08.850
 -453.57506662607193, 459.5589065551758, 1.7380995088501918E9, 2025-01-28 13:25:08.850
 -331.7440856695175, 593.596920967102, 1.7380995088505564E9, 2025-01-28 13:25:08.850
 -520.3547202348709, 410.0127119421959, 1.7380995088506026E9, 2025-01-28 13:25:08.850
 -540.4604223966599, 394.4547281265259, 1.738099508851467E9, 2025-01-28 13:25:08.851
 -363.33876049518585, 570.140268445015, 1.7380995088515077E9, 2025-01-28 13:25:08.851
